Date,Stock_Price,Market_Return,Credit_Spread,Portfolio_Weight
2023-01-01,100,0.01,0.02,0.1
2023-02-01,105,0.02,0.015,0.12
2023-03-01,98,-0.01,0.03,0.08
2023-04-01,110,0.03,0.01,0.15
2023-05-01,95,-0.02,0.04,0.07
2023-06-01,102,0.015,0.025,0.1
2023-07-01,108,0.025,0.018,0.12
2023-08-01,92,-0.015,0.035,0.05
2023-09-01,115,0.04,0.008,0.18
2023-10-01,100,0.01,0.02,0.1
2023-11-01,105,0.02,0.015,0.12
2023-12-01,98,-0.01,0.03,0.08
2024-01-01,110,0.03,0.01,0.15
2024-02-01,95,-0.02,0.04,0.07
2024-03-01,102,0.015,0.025,0.1
2024-04-01,108,0.025,0.018,0.12
2024-05-01,92,-0.015,0.035,0.05
2024-06-01,115,0.04,0.008,0.18
2024-07-01,100,0.01,0.02,0.1
2024-08-01,105,0.02,0.015,0.12
2024-09-01,98,-0.01,0.03,0.08
2024-10-01,110,0.03,0.01,0.15
2024-11-01,95,-0.02,0.04,0.07
2024-12-01,102,0.015,0.025,0.1
2025-01-01,108,0.025,0.018,0.12
2025-02-01,92,-0.015,0.035,0.05
2025-03-01,115,0.04,0.008,0.18
2025-04-01,100,0.01,0.02,0.1
2025-05-01,105,0.02,0.015,0.12
2025-06-01,98,-0.01,0.03,0.08
2025-07-01,110,0.03,0.01,0.15
2025-08-01,95,-0.02,0.04,0.07
2025-09-01,102,0.015,0.025,0.1
2025-10-01,108,0.025,0.018,0.12
2025-11-01,92,-0.015,0.035,0.05
2025-12-01,115,0.04,0.008,0.18
2026-01-01,100,0.01,0.02,0.1
2026-02-01,105,0.02,0.015,0.12
2026-03-01,98,-0.01,0.03,0.08
2026-04-01,110,0.03,0.01,0.15
2026-05-01,95,-0.02,0.04,0.07
2026-06-01,102,0.015,0.025,0.1
2026-07-01,108,0.025,0.018,0.12
2026-08-01,92,-0.015,0.035,0.05
2026-09-01,115,0.04,0.008,0.18
2026-10-01,100,0.01,0.02,0.1
2026-11-01,105,0.02,0.015,0.12
2026-12-01,98,-0.01,0.03,0.08
2027-01-01,110,0.03,0.01,0.15
2027-02-01,95,-0.02,0.04,0.07
2027-03-01,102,0.015,0.025,0.1
2027-04-01,108,0.025,0.018,0.12
2027-05-01,92,-0.015,0.035,0.05
2027-06-01,115,0.04,0.008,0.18
2027-07-01,100,0.01,0.02,0.1
2027-08-01,105,0.02,0.015,0.12
2027-09-01,98,-0.01,0.03,0.08
2027-10-01,110,0.03,0.01,0.15
2027-11-01,95,-0.02,0.04,0.07
2027-12-01,102,0.015,0.025,0.1
2028-01-01,108,0.025,0.018,0.12
2028-02-01,92,-0.015,0.035,0.05
2028-03-01,115,0.04,0.008,0.18
2028-04-01,100,0.01,0.02,0.1
2028-05-01,105,0.02,0.015,0.12
2028-06-01,98,-0.01,0.03,0.08
2028-07-01,110,0.03,0.01,0.15
2028-08-01,95,-0.02,0.04,0.07
2028-09-01,102,0.015,0.025,0.1
2028-10-01,108,0.025,0.018,0.12
2028-11-01,92,-0.015,0.035,0.05
2028-12-01,115,0.04,0.008,0.18
2029-01-01,100,0.01,0.02,0.1
2029-02-01,105,0.02,0.015,0.12
2029-03-01,98,-0.01,0.03,0.08
2029-04-01,110,0.03,0.01,0.15
2029-05-01,95,-0.02,0.04,0.07
2029-06-01,102,0.015,0.025,0.1
2029-07-01,108,0.025,0.018,0.12
2029-08-01,92,-0.015,0.035,0.05
2029-09-01,115,0.04,0.008,0.18
2029-10-01,100,0.01,0.02,0.1
2029-11-01,105,0.02,0.015,0.12
2029-12-01,98,-0.01,0.03,0.08
2030-01-01,110,0.03,0.01,0.15
2030-02-01,95,-0.02,0.04,0.07
2030-03-01,102,0.015,0.025,0.1
2030-04-01,108,0.025,0.018,0.12
2030-05-01,92,-0.015,0.035,0.05
2030-06-01,115,0.04,0.008,0.18
2030-07-01,100,0.01,0.02,0.1
2030-08-01,105,0.02,0.015,0.12
2030-09-01,98,-0.01,0.03,0.08
2030-10-01,110,0.03,0.01,0.15
2030-11-01,95,-0.02,0.04,0.07
2030-12-01,102,0.015,0.025,0.1
2031-01-01,108,0.025,0.018,0.12
2031-02-01,92,-0.015,0.035,0.05
2031-03-01,115,0.04,0.008,0.18
2031-04-01,100,0.01,0.02,0.1
